id,reminderDate
18644e80-0dc7-4610-9f68-aa69012a6987,2019-12-12 16:00:39.340717
21fa7653-506a-4efd-ba9b-aafc00fa1de6,2019-12-12 16:00:39.770935
699fb82a-713b-4243-baab-aafd01055c78,2019-12-12 16:00:40.140176
7eaba105-8a41-49e0-b9dc-aadf00dba70b,2019-12-12 16:00:40.681453
33e7d3cb-244e-4cff-a594-aa690125e358,2019-12-12 16:00:41.442208
ca7161aa-05f7-47da-b47e-aa6a010784cb,2019-12-12 16:00:42.801299
da201168-3079-4e65-be56-aa4c00f2f4af,2019-12-12 16:03:39.998732
2ae3ff2f-607c-4d66-8fae-aaef00a6701e,2019-12-12 16:03:40.333059
7507f67e-4ad7-440d-abb5-aace00ff9e25,2019-12-12 16:03:40.820790
58e0fa09-11c4-4958-b205-aae700effb58,2019-12-12 16:03:41.787262
87e9eb20-a172-48e7-a8b0-aa4c00f6ce08,2019-12-12 16:03:42.033925
62548be8-e58e-4e06-aaca-aaf70112cf6b,2019-12-12 16:04:12.754812
015cb3bb-104f-488b-8ad3-aa6a00efc4b6,2019-12-12 16:04:13.102505
1e71574b-5c21-482c-a066-aae700f024a8,2019-12-12 16:04:13.490695
978f65ff-99cf-41a0-9f1b-aa4d00990861,2019-12-12 16:04:13.752538
dc550e99-8af0-4c1f-b335-aa6a00f6857b,2019-12-12 16:04:14.160113
301b3d14-4643-4a99-8e9d-aa69012f707a,2019-12-12 16:05:16.994403
6aea6cec-67d8-4314-b967-aaf7010eb3f4,2019-12-12 16:05:17.295008
542255be-9b44-4a88-9631-aa69012647fa,2019-12-12 16:05:17.662365
22823c93-8bfb-4d42-9449-aa1d0104377f,2019-12-12 16:05:40.516324
53ee6cf2-fade-4831-94bd-aaa800f9a26e,2019-12-12 16:05:40.883581
b6f2c00a-8ae3-42ad-8947-aace00d1292d,2019-12-12 16:05:41.228094
cf930549-7e43-4b50-8640-aae700f04967,2019-12-12 16:05:41.491049
03ef28bc-ee66-4b24-b009-aa4d00984a3d,2019-12-12 16:06:00.022968
c0d86b91-b749-4060-9f4b-aadf00dc389c,2019-12-12 16:06:39.880971
89f1342a-b60b-4dbe-938c-aa6a00ffa9ad,2019-12-12 16:06:41.895678
ed53b235-2400-4418-b76a-aa4c00f0f93a,2019-12-12 16:06:42.204178
8faad2b0-913d-437d-a608-aaa800f8ab69,2019-12-12 16:06:42.700322
225e9e53-3bdb-466f-a05b-aa6a00ecef85,2019-12-12 16:06:43.056025
4e2f5896-04b0-4e3a-87ce-aa4c00ec745c,2019-12-12 16:09:06.810130
75322388-841e-4920-9999-aadf00ddec06,2019-12-12 16:09:07.124486
39367d4d-c4b9-4abc-bf44-aaf7010f0ed4,2019-12-12 16:09:07.803197
49cf57db-5ab4-4a9f-841e-aadf00e4778d,2019-12-12 16:09:08.158729
a86b0da9-d7b6-483b-93ca-aad400e44923,2019-12-12 16:09:43.360832
4d57d56a-759f-40ec-b0b3-aae700c78f2b,2019-12-12 16:09:43.730647
52e2cd63-dfe3-4232-9f61-aa6a010262cf,2019-12-12 16:09:47.637965
3ea9a8f8-a41a-477e-acc2-aadf00e4b1d1,2019-12-12 16:09:50.459195
b286f666-9c75-4f72-8ac9-aae700c7a9c1,2019-12-12 16:09:50.879542
14fca90f-cbc4-4a70-9b96-aadf00f047c4,2019-12-12 16:09:51.205974
b6916791-f6d0-49da-9378-aaed011e9476,2019-12-12 16:10:07.278270
d1644105-964b-44db-8f15-aa1d010201b3,2019-12-12 16:10:07.695462
bcc5f16e-d27d-4988-a479-aa4d00a1acf2,2019-12-12 16:10:07.942835
